player_name,pitcher,game_year,player_with_id
"Lester, Jon",452657,2015,"Lester, Jon - 452657"
"Wainwright, Adam",425794,2015,"Wainwright, Adam - 425794"
"Coke, Phil",457435,2015,"Coke, Phil - 457435"
"Motte, Jason",435400,2015,"Motte, Jason - 435400"
"Ram<ed>rez, Neil",519166,2015,"Ram<ed>rez, Neil - 519166"
"Martinez, Carlos",593372,2015,"Martinez, Carlos - 593372"
"Strop, Pedro",467008,2015,"Strop, Pedro - 467008"
"Walden, Jordan",477229,2015,"Walden, Jordan - 477229"
"Rond<f3>n, H<e9>ctor",444468,2015,"Rond<f3>n, H<e9>ctor - 444468"
"Rosenthal, Trevor",572096,2015,"Rosenthal, Trevor - 572096"
"Hern<e1>ndez, F<e9>lix",433587,2015,"Hern<e1>ndez, F<e9>lix - 433587"
"Weaver, Jered",450308,2015,"Weaver, Jered - 450308"
"Ramos, Ces<e1>r",459987,2015,"Ramos, Ces<e1>r - 459987"
"Farquhar, Danny",543144,2015,"Farquhar, Danny - 543144"
"Furbush, Charlie",518703,2015,"Furbush, Charlie - 518703"
"Smith, Carson",605476,2015,"Smith, Carson - 605476"
"Salas, Fernando",477569,2015,"Salas, Fernando - 477569"
"Rodney, Fernando",407845,2015,"Rodney, Fernando - 407845"
"Alvarez III, Henderson",506693,2015,"Alvarez III, Henderson - 506693"
"Teheran, Julio",527054,2015,"Teheran, Julio - 527054"
"Avil<e1>n, Luis",501593,2015,"Avil<e1>n, Luis - 501593"
"Johnson, Jim",462382,2015,"Johnson, Jim - 462382"
"Dunn, Mike",445197,2015,"Dunn, Mike - 445197"
"Ramos, AJ",573109,2015,"Ramos, AJ - 573109"
"Grilli, Jason",276351,2015,"Grilli, Jason - 276351"
"Archer, Chris",502042,2015,"Archer, Chris - 502042"
"Tillman, Chris",501957,2015,"Tillman, Chris - 501957"
"Geltz, Steve",544993,2015,"Geltz, Steve - 544993"
"O'Day, Darren",503285,2015,"O'Day, Darren - 503285"
"Frieri, Ernesto",457117,2015,"Frieri, Ernesto - 457117"
"Beliveau, Jeff",542924,2015,"Beliveau, Jeff - 542924"
"Balfour, Grant",346797,2015,"Balfour, Grant - 346797"
"Brach, Brad",542960,2015,"Brach, Brad - 542960"
"Hunter, Tommy",488984,2015,"Hunter, Tommy - 488984"
"Yates, Kirby",489446,2015,"Yates, Kirby - 489446"
"Britton, Zack",502154,2015,"Britton, Zack - 502154"
"Hamels, Cole",430935,2015,"Hamels, Cole - 430935"
"Buchholz, Clay",453329,2015,"Buchholz, Clay - 453329"
"Garc<ed>a, Luis",472610,2015,"Garc<ed>a, Luis - 472610"
"G<f3>mez, Jeanmar",491646,2015,"G<f3>mez, Jeanmar - 491646"
"De Fratus, Justin",518603,2015,"De Fratus, Justin - 518603"
"Tazawa, Junichi",547749,2015,"Tazawa, Junichi - 547749"
"Diekman, Jake",518617,2015,"Diekman, Jake - 518617"
"Jimenez, Cesar",462945,2015,"Jimenez, Cesar - 462945"
"Layne, Tommy",518927,2015,"Layne, Tommy - 518927"
"Ventura, Yordano",570649,2015,"Ventura, Yordano - 570649"
"Samardzija, Jeff",502188,2015,"Samardzija, Jeff - 502188"
"Herrera, Kelvin",516969,2015,"Herrera, Kelvin - 516969"
"Jennings, Dan",543359,2015,"Jennings, Dan - 543359"
"Drabek, Kyle",475138,2015,"Drabek, Kyle - 475138"
"Davis, Wade",451584,2015,"Davis, Wade - 451584"
"Madson, Ryan",425492,2015,"Madson, Ryan - 425492"
"Keuchel, Dallas",572971,2015,"Keuchel, Dallas - 572971"
"Kluber, Corey",446372,2015,"Kluber, Corey - 446372"
"Sipp, Tony",448609,2015,"Sipp, Tony - 448609"
"Atchison, Scott",425786,2015,"Atchison, Scott - 425786"
"Gregerson, Luke",502381,2015,"Gregerson, Luke - 502381"
"Lohse, Kyle",346798,2015,"Lohse, Kyle - 346798"
"Kendrick, Kyle",452718,2015,"Kendrick, Kyle - 452718"
"Blazek, Michael",518468,2015,"Blazek, Michael - 518468"
"Cotts, Neal",425840,2015,"Cotts, Neal - 425840"
"Smith, Will",519293,2015,"Smith, Will - 519293"
